variant,label,group,horizon_days,pm_rmse,delta_pm_rmse,delta_pm_rmse_pct,pm_mae_h30,raw_chi_rmse_h30,samples
no_oam,No OAM,leave_one_out,1,0.094594545457405,-0.006628226297180101,-6.548157279520319,2.91961009467318,32.019094756409864,309
no_oam,No OAM,leave_one_out,7,1.2137758197061017,-0.02171382502178454,-1.757507650059419,2.91961009467318,32.019094756409864,309
no_oam,No OAM,leave_one_out,10,1.7318745144397547,-0.021138977049428798,-1.20586505192674,2.91961009467318,32.019094756409864,309
no_oam,No OAM,leave_one_out,14,2.318460452271759,-0.01663221224288769,-0.712272043659763,2.91961009467318,32.019094756409864,309
no_oam,No OAM,leave_one_out,30,4.24502865701183,-0.043864050013631584,-1.0227360069367009,2.91961009467318,32.019094756409864,309
no_ham,No HAM,leave_one_out,1,0.1034147627376653,0.0021919909830801915,2.1655117174568974,2.978669476081334,32.08073215223794,309
no_ham,No HAM,leave_one_out,7,1.2563743365633362,0.020884691835449942,1.690397966876505,2.978669476081334,32.08073215223794,309
no_ham,No HAM,leave_one_out,10,1.7827847460534092,0.02977125456422569,1.6982900992356331,2.978669476081334,32.08073215223794,309
no_ham,No HAM,leave_one_out,14,2.3752275173733803,0.04013485285873353,1.7187691721465634,2.978669476081334,32.08073215223794,309
no_ham,No HAM,leave_one_out,30,4.374876985930941,0.085984278905479,2.0048130083700073,2.978669476081334,32.08073215223794,309
no_slam,No SLAM,leave_one_out,1,0.1055557855947109,0.004333013840125799,4.280671004179972,2.935595951750528,32.2214187670828,309
no_slam,No SLAM,leave_one_out,7,1.2377067282685796,0.0022170835406933875,0.17944978739030185,2.935595951750528,32.2214187670828,309
no_slam,No SLAM,leave_one_out,10,1.756033640642628,0.003020149153444507,0.1722832806539836,2.935595951750528,32.2214187670828,309
no_slam,No SLAM,leave_one_out,14,2.3312587201004398,-0.0038339444142070356,-0.16418810578568316,2.935595951750528,32.2214187670828,309
no_slam,No SLAM,leave_one_out,30,4.249939158853553,-0.03895354817190899,-0.9082425426054785,2.935595951750528,32.2214187670828,309
aam_only,AAM only,single_family,1,0.0978691108870135,-0.003353660867571606,-3.313148622033949,2.9486702372947917,31.86254884745306,309
aam_only,AAM only,single_family,7,1.227879990194472,-0.007609654533414334,-0.6159221621877975,2.9486702372947917,31.86254884745306,309
aam_only,AAM only,single_family,10,1.7508984611295244,-0.002115030359659098,-0.12065111705799718,2.9486702372947917,31.86254884745306,309
aam_only,AAM only,single_family,14,2.346619383674889,0.011526719160242394,0.4936300531198938,2.9486702372947917,31.86254884745306,309
aam_only,AAM only,single_family,30,4.294604868463551,0.0057121614380895025,0.13318499268430384,2.9486702372947917,31.86254884745306,309
oam_only,OAM only,single_family,1,0.0992582609144398,-0.001964510840145303,-1.9407795361583906,2.9351410128523825,31.77779309982671,309
oam_only,OAM only,single_family,7,1.232870386578902,-0.002619258148984338,-0.21200162706027564,2.9351410128523825,31.77779309982671,309
oam_only,OAM only,single_family,10,1.7503651812849246,-0.00264831020425893,-0.15107186665227504,2.9351410128523825,31.77779309982671,309
oam_only,OAM only,single_family,14,2.3440795760196584,0.00898691150501163,0.38486316374427804,2.9351410128523825,31.77779309982671,309
oam_only,OAM only,single_family,30,4.26583188739916,-0.02306081962630202,-0.5376870255701903,2.9351410128523825,31.77779309982671,309
ham_only,HAM only,single_family,1,0.0949247919089526,-0.006297979845632504,-6.221900207299178,2.9263958103269614,31.98911329339112,309
ham_only,HAM only,single_family,7,1.2256286517676471,-0.009860992960239123,-0.7981445253157896,2.9263958103269614,31.98911329339112,309
ham_only,HAM only,single_family,10,1.7445839956221836,-0.008429495866999925,-0.48085744393439184,2.9263958103269614,31.98911329339112,309
ham_only,HAM only,single_family,14,2.335986582966017,0.0008939184513701015,0.03828192623592966,2.9263958103269614,31.98911329339112,309
ham_only,HAM only,single_family,30,4.270357138650367,-0.018535568375094513,-0.4321760799642329,2.9263958103269614,31.98911329339112,309
slam_only,SLAM only,single_family,1,0.1058140790890675,0.004591307334482389,4.535844311410506,3.0724671658084244,32.268480799260466,309
slam_only,SLAM only,single_family,7,1.2625310639574905,0.027041419229604235,2.1887208318577245,3.0724671658084244,32.268480799260466,309
slam_only,SLAM only,single_family,10,1.80330722183183,0.0502937303426465,2.868987066375743,3.0724671658084244,32.268480799260466,309
slam_only,SLAM only,single_family,14,2.4290557457848245,0.09396308127017772,4.0239551388299235,3.0724671658084244,32.268480799260466,309
slam_only,SLAM only,single_family,30,4.506543781617171,0.21765107459170885,5.074761470138514,3.0724671658084244,32.268480799260466,309
