family,lag_days,autocorr_x,autocorr_y,mean_abs_autocorr,abs_autocorr_x,abs_autocorr_y
GAM,300,0.1186866115909799,0.0756736563991551,0.0971801339950675,0.1186866115909799,0.0756736563991551
GAM,305,0.1716937615022544,0.1275420602108978,0.1496179108565761,0.1716937615022544,0.1275420602108978
GAM,310,0.0634084753527936,0.1427409865579101,0.1030747309553518,0.0634084753527936,0.1427409865579101
GAM,315,0.1596986630629668,0.1571301255862023,0.1584143943245845,0.1596986630629668,0.1571301255862023
GAM,320,0.1419399238989686,0.1494212226834118,0.1456805732911902,0.1419399238989686,0.1494212226834118
GAM,325,0.1523463132361845,0.1597864310216137,0.1560663721288991,0.1523463132361845,0.1597864310216137
GAM,330,0.1651997159895032,0.1537719383819523,0.1594858271857277,0.1651997159895032,0.1537719383819523
GAM,335,0.2410223968132453,0.2259451007329883,0.2334837487731168,0.2410223968132453,0.2259451007329883
GAM,340,0.1882546901483294,0.2532507093141313,0.2207526997312303,0.1882546901483294,0.2532507093141313
GAM,345,0.1435188916116862,0.2704709839830272,0.2069949377973567,0.1435188916116862,0.2704709839830272
GAM,350,0.1935339949239174,0.2716379092589022,0.2325859520914098,0.1935339949239174,0.2716379092589022
GAM,355,0.2186025200824078,0.2642256736612524,0.2414140968718301,0.2186025200824078,0.2642256736612524
GAM,360,0.1685712593468906,0.2243609326932776,0.1964660960200841,0.1685712593468906,0.2243609326932776
GAM,365,0.2013658487876536,0.2634463289211667,0.2324060888544102,0.2013658487876536,0.2634463289211667
AAM,0,1.0,1.0,1.0,1.0,1.0
AAM,5,0.0332717061551955,0.4353248993134082,0.2342983027343019,0.0332717061551955,0.4353248993134082
AAM,10,0.0254010669024679,0.3882958083701247,0.2068484376362963,0.0254010669024679,0.3882958083701247
AAM,15,0.121610336350688,0.3861192126003174,0.2538647744755027,0.121610336350688,0.3861192126003174
AAM,20,0.0616498145882292,0.3286283303128173,0.1951390724505232,0.0616498145882292,0.3286283303128173
AAM,25,-0.0121125028381859,0.3088098480946281,0.160461175466407,0.0121125028381859,0.3088098480946281
AAM,30,-0.0333334731299541,0.3054449386769039,0.169389205903429,0.0333334731299541,0.3054449386769039
AAM,35,0.0591899315149978,0.3210967342268858,0.1901433328709418,0.0591899315149978,0.3210967342268858
AAM,40,0.0306876002720482,0.2848035188163356,0.1577455595441919,0.0306876002720482,0.2848035188163356
AAM,45,0.0201372107382989,0.2357588034435738,0.1279480070909364,0.0201372107382989,0.2357588034435738
AAM,50,0.0278066316720774,0.245740036768598,0.1367733342203377,0.0278066316720774,0.245740036768598
AAM,55,-0.0531341325207747,0.1911432043523044,0.1221386684365395,0.0531341325207747,0.1911432043523044
AAM,60,-0.0083454849967941,0.1551260826050688,0.0817357838009315,0.0083454849967941,0.1551260826050688
AAM,65,-0.0255561310343665,0.1016874152061091,0.0636217731202378,0.0255561310343665,0.1016874152061091
AAM,70,0.0065851037027934,0.0857931334098957,0.0461891185563446,0.0065851037027934,0.0857931334098957
AAM,75,-0.0650830562209819,0.0694030021115178,0.0672430291662499,0.0650830562209819,0.0694030021115178
AAM,80,-0.0301926814274302,0.042951253635936,0.0365719675316831,0.0301926814274302,0.042951253635936
AAM,85,-0.0306617407841929,-0.0260885838428473,0.0283751623135201,0.0306617407841929,0.0260885838428473
AAM,90,0.031838520222533,-0.0294872931820126,0.0306629067022728,0.031838520222533,0.0294872931820126
AAM,95,-0.0236928822447215,-0.0630015207626533,0.0433472015036874,0.0236928822447215,0.0630015207626533
AAM,100,-0.0300780060658841,-0.0871872459772554,0.0586326260215697,0.0300780060658841,0.0871872459772554
AAM,105,-0.0072545893782902,-0.0816045954091058,0.044429592393698,0.0072545893782902,0.0816045954091058
AAM,110,-0.0001688051156892,-0.0868968864425739,0.0435328457791316,0.0001688051156892,0.0868968864425739
AAM,115,-0.0300057965302462,-0.1721800668945301,0.1010929317123881,0.0300057965302462,0.1721800668945301
AAM,120,-0.0346597135679579,-0.159893637024643,0.0972766752963005,0.0346597135679579,0.159893637024643
AAM,125,0.0114377604974395,-0.1760131025932512,0.0937254315453453,0.0114377604974395,0.1760131025932512
AAM,130,0.0176285309477729,-0.233798070062544,0.1257133005051584,0.0176285309477729,0.233798070062544
AAM,135,-0.0331412746254525,-0.2314193561752936,0.1322803154003731,0.0331412746254525,0.2314193561752936
AAM,140,0.0027887328417487,-0.2935492097459303,0.1481689712938395,0.0027887328417487,0.2935492097459303
AAM,145,0.0490493058363208,-0.3023800428257304,0.1757146743310256,0.0490493058363208,0.3023800428257304
AAM,150,-0.0249560912373305,-0.3287520249859393,0.1768540581116349,0.0249560912373305,0.3287520249859393
